person_id,transcript
482910,"Look, Arthur was a brilliant surgeon, but he was arrogant and made enemies. We competed for the Head of Cardiology position. I'm not surprised someone had a grudge. I heard rumors he was involved in some shady clinical trials. I was at a medical conference in another city the night he died; you can check the records."
398428,"Fire me? He ruined my career over a minor disagreement! He accused me of incompetence to cover his own mistake. Do I hate him? Yes. Did I kill him? No. I was drowning my sorrows at the Old Anchor bar all night. The bartender will confirm I was there from 8 PM until closing."
729401,"I live on the floor below Dr. Dwayne. I didn't hear any commotion, but I did see an unfamiliar car parked out front earlier that evening, around 7 PM. It was an older model, dark blue. It was gone by the time the police arrived. I just figured it was a patient."
194725,"I'm a nurse at the hospital. Dr. Dwayne was under a lot of stress lately. He was very secretive about some 'private research' he was conducting. He had a heated argument with a man I didn't recognize in the hospital parking lot last week. The man was shouting about a 'promise' Arthur had broken."
837462,"I'm the mail carrier for that route. Dr. Dwayne received a lot of packages from overseas, mostly from medical supply companies. However, last month, he got a small, hand-delivered envelope with no return address. He seemed visibly upset after opening it."
601480,"It was a dreadful night. Around 9 PM, I heard a furious shout and a loud thud from Arthur's flat. A few minutes later, I heard the front door slam and someone running down the stairs. I assumed it was just a heated argument. But then, from my balcony, I saw a man tying a red scarf and limping towards an old model car. The number plate looked something like 'KA18'."
502947,"I clean the hallways in the apartment building. The housemaid, Eva Maria, was always talking about her financial problems. She mentioned needing a large sum of money for a family emergency just a few days ago. She seemed desperate."
693012,"I'm a patient of Dr. Dwayne. He was a miracle worker. But his partner, Dr. Dunkins, always seemed to resent his success. I once overheard Dr. Dunkins telling a nurse that Arthur's methods were 'reckless and would catch up to him'."
112384,"I work at the hospital's records department. Dr. Dwayne requested the file of a deceased patient, Elias Thorne's wife, just two days before his murder. It was an unusual request, as the case was closed months ago."
473829,"I'm a security guard at the hospital. I saw Dr. Dwayne leaving late on the night of the murder. He was on the phone and sounded agitated. He mentioned something about 'unauthorized access' and 'changing the locks'."
264860,"Dr. Dwayne was a very good man, I must say. But I saw that junior doctor he had dismissed arguing with him just last week. He even threatened Arthur, saying he would not spare him. Another man, a cardiologist from the same hospital who was jealous of Arthur, also quarreled with him recently. He had threatened Arthur, vowing to completely ruin him."
901693,"A science teacher from the public school had visited here several times recently, asking about the doctor. However, I was not on duty on the day of the murder, so I am unsure whether he came that day."
882741,"I'm Elias Thorne's brother. My brother hasn't been the same since his wife died. He blamed Dr. Dwayne entirely. He bought a hunting knife a few weeks ago, said it was for 'protection'. I'm worried he did something stupid."
301948,"I'm the bartender at the Old Anchor. Yeah, the fired doctor, Bennet, was here. He had a tab open from 8 PM. He was pretty drunk and rambling about how Dr. Dwayne was a fraud. He paid his tab and left around 1 AM."
593820,"I'm a delivery driver. I delivered a food order to Dr. Dwayne's apartment around 8 PM. A woman, not the doctor, answered the door. She seemed nervous and in a hurry to get rid of me."
746281,"I'm a pharmacist. Dr. Dwayne wrote a lot of prescriptions for powerful sedatives. More than usual for a cardiologist. It seemed odd, but he was the doctor."
283746,"I live across the street. I have a telescope for stargazing. Around 9:45 PM, I saw a light on in Dr. Dwayne's bedroom. I saw a silhouette moving inside, but I couldn't make out who it was. It wasn't the doctor's build."
603827,"I'm a financial auditor. Dr. Dwayne's accounts showed a large, unexplained cash withdrawal of nearly fifty thousand dollars two weeks ago. There was no corresponding purchase or investment."
492817,"I'm a locksmith. I received a call from Dr. Dwayne on the day he was murdered. He wanted to change all the locks on his apartment, including the patio door. He said he'd lost a spare key. He never called back to confirm the appointment."
817263,"I'm a member of the same country club as Dr. Dwayne. He was a terrible gambler. Lost a lot of money at the poker table last month to some unsavory characters. He seemed to be in debt."
582736,"I'm a tech support specialist. Dr. Dwayne called our helpline a week ago, frantic about his smart assistant. He said it was recording things without the hotword and he was worried about his privacy. We ran a remote diagnostic but found no issues."
384726,"I'm a private investigator. A woman hired me a month ago to follow Dr. Dwayne. She suspected he was having an affair. I can't disclose my client's name, but I can tell you he had a secret meeting at a hotel with an unidentified woman."
928374,"I'm a caterer. I worked a party at the Dwayne's residence last year."
627384,"I'm a dog walker in the neighborhood. I saw Elias Thorne sitting in his car across from the apartment building for hours on several occasions. Just watching. It was creepy."
182734,"I'm a hospital janitor. I saw Dr. Dunkins leaving Dr. Dwayne's office late one night, long after everyone else had gone home. He was carrying a file. When he saw me, he looked startled and rushed away."
592837,"I'm a taxi driver. I picked up a woman from near Richmond Street around 10:30 PM. She was crying and kept saying 'I didn't mean to, it was an accident'. She had me drop her off at the bus station."
482710,"I'm a florist. I delivered a large bouquet of black roses to Dr. Dwayne's office the day before the murder. The card was anonymous and just said, 'You'll get what you deserve'."
382910,"I work for the city's traffic department. There was a power surge that knocked out a few traffic cameras on Richmond Street for about an hour between 9:30 PM and 10:30 PM on the night of the murder. A real stroke of bad luck."
739281,"I'm a retired police officer and live in the building. Arthur was a good man, but he had a temper. I heard him shouting at the housemaid, Eva, a few weeks back about something she'd broken. He threatened to fire her on the spot."
