date,type,description,city
20240102,Theft,"Shoplifting reported at Silveridge Mall.",Silveridge
20240103,Vandalism,"Graffiti found on the walls of Crestwood Heights.",Crestwood
20240105,Assault,"Minor altercation between two drivers near Maple Creek Bridge.",Maple Creek
20240106,Burglary,"Residential break-in reported. Electronics stolen.",Northwood
20240108,Theft,"Wallet stolen from a passenger on a city bus.",Oakhaven
20240110,Arson,"Small fire deliberately set in a dumpster behind a restaurant.",Pinehurst
20240112,Vandalism,"Car tires slashed in a residential parking lot.",Riverbend
20240114,Theft,"Bicycle stolen from outside a residence.",Stonebridge
20240115,Assault,"Bar fight at a local pub.",Westbrook
20240117,Burglary,"Attempted burglary at a warehouse.",Willow Creek
20240119,Robbery,"Mobile phone snatched from a pedestrian near Silver Stream.",Silveridge
20240121,Fraud,"Credit card fraud reported by a resident.",Crestwood
20240123,Vandalism,"Park benches at Maple Leaf Park damaged.",Maple Creek
20240125,Harassment,"Stalking complaint filed against an individual.",Northwood
20240127,Assault,"Domestic dispute reported in a flat. Police intervened.",Oakhaven
20240129,Burglary,"Jewelry and cash stolen from a home.",Pinehurst
20240131,Theft,"Laptop stolen from a car parked near Riverbend Market.",Riverbend
20240201,Smuggling,"Illegal wildlife products seized at the city border.",Stonebridge
20240203,Theft,"Motorcycle stolen from a parking garage.",Westbrook
20240205,Vandalism,"Windows of a government office broken.",Willow Creek
20240207,Assault,"Road rage incident on Silveridge Bridge. Both parties warned.",Silveridge
20240209,Burglary,"Break-in at a pharmacy. Prescription drugs stolen.",Crestwood
20240211,Extortion,"Local business owner received threatening letter demanding money.",Maple Creek
20240213,Fraud,"Online scam reported by a student. Lost money in a fake investment scheme.",Northwood
20240215,Theft,"Pickpocketing reported in a crowded market.",Oakhaven
20240217,Assault,"Altercation between street vendors over territory. Resolved by police.",Pinehurst
20240219,Burglary,"Office space broken into. Computers stolen.",Riverbend
20240221,Kidnapping,"Child reported missing from a park, ransom note found.",Stonebridge
20240223,Vandalism,"Statue in a public park defaced.",Westbrook
20240225,Theft,"Copper wire stolen from a telecom tower.",Willow Creek
20240227,Assault,"Clash between two student groups at Oakhaven University. Minor injuries.",Oakhaven
20240229,Burglary,"Attempted break-in at a jewelry store. Alarm system triggered.",Silveridge
20240302,Theft,"Handbag stolen from a shopper at a supermarket.",Crestwood
20240304,Arson,"Car set on fire in a residential neighborhood. Suspect unknown.",Maple Creek
20240306,Trespassing,"Individual found trespassing on private property.",Northwood
20240308,Assault,"Heated argument at a family gathering leads to minor scuffle.",Oakhaven
20240310,Burglary,"Tools stolen from a garage in a residence.",Pinehurst
20240312,Theft,"ATM card skimming device found at an ATM kiosk.",Riverbend
20240314,Vandalism,"Public telephone booth destroyed.",Stonebridge
20240316,Robbery,"Armed robbery at a convenience store.",Westbrook
20240318,Assault,"Dispute over a land boundary turns violent. Police called.",Willow Creek
20240320,Burglary,"Break-in at a school during the night. Canteen was ransacked.",Silveridge
20240322,Fraud,"Man reported his identity was stolen and used to take out loans.",Crestwood
20240324,Extortion,"Blackmail attempt reported via email.",Maple Creek
20240326,Theft,"Valuables stolen from a locker at a gym.",Northwood
20240328,Assault,"Two individuals arrested after a public brawl.",Oakhaven
20240330,Burglary,"Electronics store burgled overnight. High-value items taken.",Pinehurst
20240401,Smuggling,"Contraband goods found in a shipping container.",Riverbend
20240403,Vandalism,"Vehicle damaged in a parking dispute.",Stonebridge
20240405,Theft,"Water pump stolen from a residential building.",Westbrook
20240407,Assault,"Security guard assaulted by an unidentified individual.",Willow Creek
20240409,Burglary,"Attempted ATM theft. Machine damaged but no cash taken.",Silveridge
20240411,Harassment,"Online harassment reported by a student.",Crestwood
20240413,Fraud,"Counterfeit currency circulated in a local market.",Maple Creek
20240415,Theft,"Sand illegally mined from the riverbanks.",Northwood
20240417,Assault,"A tourist was harassed by a group of youths. Police intervened.",Oakhaven
20240419,Burglary,"A vacant house was broken into and vandalized.",Pinehurst
20240421,Kidnapping,"Businessman abducted from his vehicle.",Riverbend
20240423,Vandalism,"Street lights in a lane were broken.",Stonebridge
20240425,Theft,"A fishing boat was stolen from the riverbank.",Westbrook
20240427,Assault,"A journalist was threatened for their reporting.",Willow Creek
20240429,Robbery,"Bank robbery reported downtown.",Silveridge
20240501,Theft,"A rare orchid was stolen from the botanical garden.",Crestwood
20240503,Arson,"A haystack was set on fire in a rural area.",Maple Creek
20240505,Theft,"An antique idol was stolen from a family heirloom collection.",Northwood
20240507,Assault,"A traffic police officer was manhandled by a violator.",Oakhaven
20240509,Burglary,"A tailor shop was broken into, and sewing machines were stolen.",Pinehurst
20240511,Trespassing,"Complaint about unauthorized access to a construction site.",Riverbend
20240513,Vandalism,"A community water tap was damaged.",Stonebridge
20240515,Theft,"A musician's instrument was stolen after a concert.",Westbrook
20240517,Assault,"A verbal dispute escalated into a physical fight at a tea stall.",Willow Creek
20240519,Burglary,"A bookstore was burgled, and rare books were taken.",Silveridge
